id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename,classification,direction,xml_earliest,xml_latest,date_structure,exact_order_needs_review,xml_path,xml_sha256
DCP-LETT-619,Darwin,C. R.,Strickland,H. E.,1842-02-17,17 Feb [1842],"London, Upper Gower St, 12",,"Museum of Zoology Archives, University of Cambridge (Strickland Papers)",,,DCP-LETT-619.xml,safe_within_period,from_darwin,1842-02-17,1842-02-17,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-619.xml,eb09912779d2263bf8df0f9ffb64f11309607d5375e31257aaac3c349d0a3411
DCP-LETT-620,Darwin,C. R.,Strickland,H. E.,1842-02-19,[19 Feb 1842],"London, Upper Gower St, 12",,"Museum of Zoology Archives, University of Cambridge (Strickland Papers)",,,DCP-LETT-620.xml,safe_within_period,from_darwin,1842-02-19,1842-02-19,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-620.xml,22f66e455d9f5ef0e3d31594c00df1cebf010d2f6c682b2ada8a604ad35f794e
DCP-LETT-621,Darwin,C. R.,Darwin,S. E.,1842-02-22,[22 Feb 1842],"London, Upper Gower St, 12",,DAR 185: 10,,,DCP-LETT-621.xml,safe_within_period,from_darwin,1842-02-22,1842-02-22,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-621.xml,f94a5842c3d28728ec063365e9f771a6c0c1053702ae40359703f792f348c9e0
DCP-LETT-622,Darwin,C. R.,Wedgwood,Emma,1842-03-08,[8 Mar 1842],Shrewsbury,,DAR 210.8: 18,,,DCP-LETT-622.xml,safe_within_period,from_darwin,1842-03-08,1842-03-08,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-622.xml,fc8cd42c895b98104c8abc09f74ed7a21eaf9e96bbf5b75a3b9def5c13b0122e
DCP-LETT-623,Darwin,C. R.,Wedgwood,Emma,1842-03-13,[13 Mar 1842],Shrewsbury,,DAR 210.8: 19,,,DCP-LETT-623.xml,safe_within_period,from_darwin,1842-03-13,1842-03-13,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-623.xml,45c70590749edb61dba26945e79d66cec3f45b4340d81fa594b652f6e26a3f7e
DCP-LETT-624,Darwin,C. R.,Fox,W. D.,1842-03-23,23 Mar [1842],"London, Upper Gower St, 12",,"Christ’s College Library, Cambridge (MS 53 Fox 57)",,,DCP-LETT-624.xml,safe_within_period,from_darwin,1842-03-23,1842-03-23,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-624.xml,193b5e5338b4b2e06b23b829b1abb68f8900ee6c63440277b0bcf1f7a8284f11
DCP-LETT-625,Darwin,C. R.,Fox,W. D.,1842-03-31,[31 Mar 1842],"London, Upper Gower St, 12",,"Christ’s College Library, Cambridge (MS 53 Fox 56)",,,DCP-LETT-625.xml,safe_within_period,from_darwin,1842-03-31,1842-03-31,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-625.xml,dd5d9f1da09913e1f64f3bf54777d53d04ba56735d0e51c028e8d6a8234d0568
DCP-LETT-625A,Darwin,C. R.,Spearman,A. Y.,1842-04-29,29 Apr 1842,"London, Upper Gower St, 12",,The National Archives (TNA) (T1/4723 paper 15949),,,DCP-LETT-625A.xml,safe_within_period,from_darwin,1842-04-29,1842-04-29,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-625A.xml,244f13a545cac057a6dd57590aa3b49073b35628e68a54941d14d5059c49e4ad
DCP-LETT-627,Darwin,C. R.,Jenyns,Leonard,1842-05-01,[May–Sept 1842],"London, Upper Gower St, 12",,Bath Royal Literary and Scientific Institution,,,DCP-LETT-627.xml,safe_within_period,from_darwin,1842-05-01,1842-09-30,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-627.xml,b6cdbf5e7a70d6013cbf47fdda8bd1c78b684a8539b29d0dd6c359b0c1737a63
DCP-LETT-628,Darwin,C. R.,Johnes,M. A.,1842-05-05,[5 May 1842],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.),,,DCP-LETT-628.xml,safe_within_period,from_darwin,1842-05-05,1842-05-05,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-628.xml,d4747b2e17b35636db0155c6390c0aa5378a62372629149292d0400ce375e561
DCP-LETT-626,Darwin,C. R.,Wedgwood,Emma,1842-05-09,[9 May 1842],unstated,,DAR 210.8: 20,,,DCP-LETT-626.xml,safe_within_period,from_darwin,1842-05-09,1842-05-09,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-626.xml,d555e53de4993521da636417f41b765fa3abef4ccdd1dbdea45e349e6dbdc82e
DCP-LETT-629,Darwin,C. R.,Jenyns,Leonard,1842-05-09,[9 May 1842],"London, Upper Gower St, 12",,Bath Royal Literary and Scientific Institution,,,DCP-LETT-629.xml,safe_within_period,from_darwin,1842-05-09,1842-05-09,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-629.xml,5f0031e1584b17d10aa151751d11f75bab50078e8e5bd686202f0a28081dad7e
